Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAP.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,WLN.PA
2000-01-25,,845855.0,,,7963443.0,5896022.0,1756670.0,329331.0,15340525.0,379999.0,1811760.0,,773641.0,5223500.0,1866000.0,1785000.0,1482658.0,219837.0,1211001.0,,592380.0,1300356.0,,981240.0,1527830.0,,312840.0,46248.0,977063.0,748950.0,1685125.0,1496892.0,,,1070887.0,196157.0,7547968.0,,,
2000-01-26,,879384.0,,,7170997.0,4142966.0,3164638.0,313011.0,12485861.0,636753.0,2349180.0,,1455023.0,5796400.0,4600000.0,862000.0,956324.0,188960.0,860364.0,,534475.0,1729678.0,,1088180.0,1624751.0,,321865.0,110400.0,725595.0,824325.0,1904070.0,1148452.0,,,1094694.0,929225.0,7936096.0,,,
2000-01-27,,3085402.0,,,4639731.0,5042450.0,1863736.0,2350731.0,16248078.0,310501.0,1640620.0,,2774907.0,11152500.0,4393000.0,1968000.0,1098227.0,298121.0,828779.0,,1080090.0,1294196.0,,1709590.0,3117115.0,,1265517.0,15840.0,1242374.0,438150.0,2059519.0,907844.0,,,2576280.0,409205.0,6087604.0,,,
2000-01-28,,973902.0,,,4289111.0,4408623.0,1150682.0,559645.0,12062252.0,121852.0,1248560.0,,575346.0,4941900.0,13086000.0,541000.0,1306466.0,359722.0,252136.0,,629910.0,1420641.0,,733880.0,2167522.0,,229919.0,18228.0,622391.0,1345950.0,1244174.0,2233584.0,,,515231.0,258273.0,4399264.0,,,
2000-01-31,,888570.0,,,4353273.0,3940543.0,1396032.0,307251.0,14311768.0,215741.0,1123130.0,,315898.0,6440800.0,4953500.0,1978000.0,924846.0,214528.0,198969.0,,773295.0,1236786.0,,815790.0,1440195.0,,587914.0,30558.0,877794.0,460425.0,1176137.0,2287544.0,,,682383.0,554143.0,5216332.0,,,
2000-02-01,,1400644.0,,,6374634.0,4326865.0,1565442.0,364999.0,12387909.0,228191.0,1655370.0,,684120.0,7370300.0,3603500.0,8658000.0,1564661.0,177333.0,286797.0,,743770.0,3272757.0,,881690.0,1594212.0,,178984.0,51408.0,666556.0,628950.0,813142.0,2093684.0,,,1854879.0,751117.0,4742288.0,,,
2000-02-02,,761077.0,,,6579447.0,4854258.0,1269120.0,501821.0,8600558.0,101885.0,2385610.0,,768859.0,11215200.0,15585000.0,4468000.0,1060641.0,1341204.0,262394.0,,1266095.0,1720538.0,,871770.0,1871351.0,,220324.0,53847.0,2081786.0,786525.0,975686.0,2043500.0,,,1112323.0,1094937.0,5084224.0,,,
2000-02-03,,1013433.0,,,4656348.0,7505942.0,1576512.0,445088.0,27317391.0,208966.0,2197560.0,,1296747.0,16849200.0,14246500.0,7984000.0,2220518.0,1181509.0,480272.0,,940870.0,2668745.0,,997790.0,2639004.0,,191924.0,17265.0,2548462.0,1792725.0,1439753.0,1302740.0,,,3223698.0,770869.0,6518564.0,,,
2000-02-04,,845493.0,,,4066714.0,5197741.0,1611612.0,307467.0,14492572.0,717943.0,1544110.0,,720664.0,31382500.0,6400500.0,8598000.0,2009713.0,602524.0,325309.0,,718850.0,2159100.0,,905460.0,2851222.0,,344563.0,47211.0,1134961.0,491175.0,1152627.0,716976.0,,,1119274.0,266923.0,5505360.0,,,
2000-02-07,,697954.0,,,2921766.0,7470131.0,920794.0,174800.0,9851669.0,341023.0,1971740.0,,456230.0,36814300.0,4509000.0,3745000.0,943583.0,572402.0,424859.0,,541500.0,1476404.0,,758040.0,1923813.0,,247354.0,40047.0,448788.0,637125.0,987141.0,1102500.0,,,1239209.0,790962.0,4864064.0,,,
